zipcode,zone,trange,zonetitle
44430,6a,-10 to -5,6a: -10 to -5
44431,6a,-10 to -5,6a: -10 to -5
44432,6a,-10 to -5,6a: -10 to -5
44436,6a,-10 to -5,6a: -10 to -5
44437,6a,-10 to -5,6a: -10 to -5
44438,6a,-10 to -5,6a: -10 to -5
44439,6a,-10 to -5,6a: -10 to -5
44440,6a,-10 to -5,6a: -10 to -5
44441,6b,-5 to 0,6b: -5 to 0
44442,6a,-10 to -5,6a: -10 to -5
44443,6a,-10 to -5,6a: -10 to -5
44444,6a,-10 to -5,6a: -10 to -5
44445,6a,-10 to -5,6a: -10 to -5
44446,6a,-10 to -5,6a: -10 to -5
44449,6a,-10 to -5,6a: -10 to -5
44450,6a,-10 to -5,6a: -10 to -5
44451,6a,-10 to -5,6a: -10 to -5
44452,6a,-10 to -5,6a: -10 to -5
44453,6a,-10 to -5,6a: -10 to -5
44454,6a,-10 to -5,6a: -10 to -5
44455,6b,-5 to 0,6b: -5 to 0
44460,6a,-10 to -5,6a: -10 to -5
44470,6a,-10 to -5,6a: -10 to -5
44471,6a,-10 to -5,6a: -10 to -5
44473,6a,-10 to -5,6a: -10 to -5
44481,6a,-10 to -5,6a: -10 to -5
44482,6a,-10 to -5,6a: -10 to -5
44483,6a,-10 to -5,6a: -10 to -5
44484,6a,-10 to -5,6a: -10 to -5
44485,6a,-10 to -5,6a: -10 to -5
44486,6a,-10 to -5,6a: -10 to -5
44490,6a,-10 to -5,6a: -10 to -5
44491,6a,-10 to -5,6a: -10 to -5
44492,6b,-5 to 0,6b: -5 to 0
44493,6a,-10 to -5,6a: -10 to -5
44501,6a,-10 to -5,6a: -10 to -5
44502,6a,-10 to -5,6a: -10 to -5
44503,6a,-10 to -5,6a: -10 to -5
44504,6a,-10 to -5,6a: -10 to -5
44505,6a,-10 to -5,6a: -10 to -5
44506,6a,-10 to -5,6a: -10 to -5
44507,6a,-10 to -5,6a: -10 to -5
44509,6a,-10 to -5,6a: -10 to -5
44510,6a,-10 to -5,6a: -10 to -5
44511,6a,-10 to -5,6a: -10 to -5
44512,6a,-10 to -5,6a: -10 to -5
44513,6a,-10 to -5,6a: -10 to -5
44514,6a,-10 to -5,6a: -10 to -5
44515,6a,-10 to -5,6a: -10 to -5
44555,6a,-10 to -5,6a: -10 to -5
44601,6a,-10 to -5,6a: -10 to -5
44606,6a,-10 to -5,6a: -10 to -5
44607,6a,-10 to -5,6a: -10 to -5
44608,6b,-5 to 0,6b: -5 to 0
44609,6a,-10 to -5,6a: -10 to -5
44610,6a,-10 to -5,6a: -10 to -5
44611,6a,-10 to -5,6a: -10 to -5
44612,6b,-5 to 0,6b: -5 to 0
44613,6b,-5 to 0,6b: -5 to 0
44614,6b,-5 to 0,6b: -5 to 0
44615,6b,-5 to 0,6b: -5 to 0
44617,6a,-10 to -5,6a: -10 to -5
44618,6a,-10 to -5,6a: -10 to -5
44619,6b,-5 to 0,6b: -5 to 0
44620,6b,-5 to 0,6b: -5 to 0
44621,6b,-5 to 0,6b: -5 to 0
44622,6b,-5 to 0,6b: -5 to 0
44624,6a,-10 to -5,6a: -10 to -5
44625,6a,-10 to -5,6a: -10 to -5
44626,6b,-5 to 0,6b: -5 to 0
44627,6a,-10 to -5,6a: -10 to -5
44628,6a,-10 to -5,6a: -10 to -5
44629,6b,-5 to 0,6b: -5 to 0
44630,6b,-5 to 0,6b: -5 to 0
44632,6b,-5 to 0,6b: -5 to 0
44633,6a,-10 to -5,6a: -10 to -5
44634,6a,-10 to -5,6a: -10 to -5
44636,6a,-10 to -5,6a: -10 to -5
44637,6a,-10 to -5,6a: -10 to -5
44638,6a,-10 to -5,6a: -10 to -5
44639,6b,-5 to 0,6b: -5 to 0
44640,6a,-10 to -5,6a: -10 to -5
44641,6b,-5 to 0,6b: -5 to 0
44643,6b,-5 to 0,6b: -5 to 0
44644,6b,-5 to 0,6b: -5 to 0
44645,6a,-10 to -5,6a: -10 to -5
44646,6b,-5 to 0,6b: -5 to 0
44647,6b,-5 to 0,6b: -5 to 0
44648,6b,-5 to 0,6b: -5 to 0
44650,6a,-10 to -5,6a: -10 to -5
44651,6a,-10 to -5,6a: -10 to -5
44652,6b,-5 to 0,6b: -5 to 0
44653,6b,-5 to 0,6b: -5 to 0
44654,6a,-10 to -5,6a: -10 to -5
44656,6b,-5 to 0,6b: -5 to 0
44657,6a,-10 to -5,6a: -10 to -5
44660,6a,-10 to -5,6a: -10 to -5
44661,6a,-10 to -5,6a: -10 to -5
44662,6b,-5 to 0,6b: -5 to 0
44663,6b,-5 to 0,6b: -5 to 0
44665,6a,-10 to -5,6a: -10 to -5
44666,6b,-5 to 0,6b: -5 to 0
44667,6a,-10 to -5,6a: -10 to -5
44669,6a,-10 to -5,6a: -10 to -5
44671,6b,-5 to 0,6b: -5 to 0
44672,6a,-10 to -5,6a: -10 to -5
44675,6b,-5 to 0,6b: -5 to 0
44676,6a,-10 to -5,6a: -10 to -5
44677,6a,-10 to -5,6a: -10 to -5
44678,6b,-5 to 0,6b: -5 to 0
44679,6b,-5 to 0,6b: -5 to 0
44680,6b,-5 to 0,6b: -5 to 0
44681,6a,-10 to -5,6a: -10 to -5
44682,6b,-5 to 0,6b: -5 to 0
44683,6b,-5 to 0,6b: -5 to 0
44685,6b,-5 to 0,6b: -5 to 0
44687,6a,-10 to -5,6a: -10 to -5
44688,6b,-5 to 0,6b: -5 to 0
44689,6a,-10 to -5,6a: -10 to -5
44690,6a,-10 to -5,6a: -10 to -5
44691,6a,-10 to -5,6a: -10 to -5
44693,6b,-5 to 0,6b: -5 to 0
44695,6b,-5 to 0,6b: -5 to 0
44697,6b,-5 to 0,6b: -5 to 0
44699,6b,-5 to 0,6b: -5 to 0
44701,6b,-5 to 0,6b: -5 to 0
44702,6b,-5 to 0,6b: -5 to 0
44703,6b,-5 to 0,6b: -5 to 0
44704,6b,-5 to 0,6b: -5 to 0
44705,6b,-5 to 0,6b: -5 to 0
44706,6b,-5 to 0,6b: -5 to 0
44707,6b,-5 to 0,6b: -5 to 0
44708,6b,-5 to 0,6b: -5 to 0
44709,6b,-5 to 0,6b: -5 to 0
44710,6b,-5 to 0,6b: -5 to 0
44711,6b,-5 to 0,6b: -5 to 0
44714,6b,-5 to 0,6b: -5 to 0
44718,6b,-5 to 0,6b: -5 to 0
44720,6b,-5 to 0,6b: -5 to 0
44721,6b,-5 to 0,6b: -5 to 0
44730,6b,-5 to 0,6b: -5 to 0
44735,6b,-5 to 0,6b: -5 to 0
44750,6b,-5 to 0,6b: -5 to 0
44767,6b,-5 to 0,6b: -5 to 0
44799,6b,-5 to 0,6b: -5 to 0
44802,6b,-5 to 0,6b: -5 to 0
44804,6b,-5 to 0,6b: -5 to 0
44805,6a,-10 to -5,6a: -10 to -5
44807,6a,-10 to -5,6a: -10 to -5
44809,6b,-5 to 0,6b: -5 to 0
44811,6a,-10 to -5,6a: -10 to -5
44813,6a,-10 to -5,6a: -10 to -5
44814,6b,-5 to 0,6b: -5 to 0
44815,6a,-10 to -5,6a: -10 to -5
44816,6b,-5 to 0,6b: -5 to 0
44817,6b,-5 to 0,6b: -5 to 0
44818,6a,-10 to -5,6a: -10 to -5
44820,6a,-10 to -5,6a: -10 to -5
44822,6a,-10 to -5,6a: -10 to -5
44824,6b,-5 to 0,6b: -5 to 0
44826,6a,-10 to -5,6a: -10 to -5
44827,6a,-10 to -5,6a: -10 to -5
44828,6a,-10 to -5,6a: -10 to -5
44830,6b,-5 to 0,6b: -5 to 0
44833,6a,-10 to -5,6a: -10 to -5
44836,6a,-10 to -5,6a: -10 to -5
44837,6a,-10 to -5,6a: -10 to -5
44838,6a,-10 to -5,6a: -10 to -5
44839,6b,-5 to 0,6b: -5 to 0
44840,6a,-10 to -5,6a: -10 to -5
44841,6a,-10 to -5,6a: -10 to -5
44842,6a,-10 to -5,6a: -10 to -5
44843,6a,-10 to -5,6a: -10 to -5
44844,6a,-10 to -5,6a: -10 to -5
44845,6a,-10 to -5,6a: -10 to -5
44846,6b,-5 to 0,6b: -5 to 0
44847,6a,-10 to -5,6a: -10 to -5
44848,6a,-10 to -5,6a: -10 to -5
44849,6a,-10 to -5,6a: -10 to -5
44850,6a,-10 to -5,6a: -10 to -5
44851,6a,-10 to -5,6a: -10 to -5
44853,6a,-10 to -5,6a: -10 to -5
44854,6a,-10 to -5,6a: -10 to -5
44855,6a,-10 to -5,6a: -10 to -5
44856,6a,-10 to -5,6a: -10 to -5
44857,6a,-10 to -5,6a: -10 to -5
44859,6a,-10 to -5,6a: -10 to -5
44860,6a,-10 to -5,6a: -10 to -5
44862,6a,-10 to -5,6a: -10 to -5
44864,6a,-10 to -5,6a: -10 to -5
44865,6a,-10 to -5,6a: -10 to -5
44866,6a,-10 to -5,6a: -10 to -5
44867,6a,-10 to -5,6a: -10 to -5
44870,6b,-5 to 0,6b: -5 to 0
44871,6b,-5 to 0,6b: -5 to 0
44874,6a,-10 to -5,6a: -10 to -5
44875,6a,-10 to -5,6a: -10 to -5
44878,6a,-10 to -5,6a: -10 to -5
44880,6a,-10 to -5,6a: -10 to -5
44881,6a,-10 to -5,6a: -10 to -5
44882,6a,-10 to -5,6a: -10 to -5
44883,6a,-10 to -5,6a: -10 to -5
44887,6a,-10 to -5,6a: -10 to -5
44888,6a,-10 to -5,6a: -10 to -5
44889,6b,-5 to 0,6b: -5 to 0
44890,6a,-10 to -5,6a: -10 to -5
44901,6a,-10 to -5,6a: -10 to -5
44902,6a,-10 to -5,6a: -10 to -5
44903,6a,-10 to -5,6a: -10 to -5
44904,6a,-10 to -5,6a: -10 to -5
44905,6a,-10 to -5,6a: -10 to -5
44906,6a,-10 to -5,6a: -10 to -5
44907,6a,-10 to -5,6a: -10 to -5
45001,6b,-5 to 0,6b: -5 to 0
45002,6b,-5 to 0,6b: -5 to 0
45003,6a,-10 to -5,6a: -10 to -5
45004,6b,-5 to 0,6b: -5 to 0
45005,6b,-5 to 0,6b: -5 to 0
45011,6b,-5 to 0,6b: -5 to 0
45012,6b,-5 to 0,6b: -5 to 0
45013,6b,-5 to 0,6b: -5 to 0
45014,6b,-5 to 0,6b: -5 to 0
45015,6b,-5 to 0,6b: -5 to 0
45018,6b,-5 to 0,6b: -5 to 0
45030,6b,-5 to 0,6b: -5 to 0
45032,6b,-5 to 0,6b: -5 to 0
45033,6b,-5 to 0,6b: -5 to 0
45034,6b,-5 to 0,6b: -5 to 0
45036,6b,-5 to 0,6b: -5 to 0
45039,6b,-5 to 0,6b: -5 to 0
45040,6b,-5 to 0,6b: -5 to 0
45041,6b,-5 to 0,6b: -5 to 0
45042,6b,-5 to 0,6b: -5 to 0
45044,6b,-5 to 0,6b: -5 to 0
45050,6b,-5 to 0,6b: -5 to 0
45051,6b,-5 to 0,6b: -5 to 0
45052,6b,-5 to 0,6b: -5 to 0
45053,6b,-5 to 0,6b: -5 to 0
45054,6b,-5 to 0,6b: -5 to 0
45055,6b,-5 to 0,6b: -5 to 0
45056,6a,-10 to -5,6a: -10 to -5
45061,6b,-5 to 0,6b: -5 to 0
45062,6b,-5 to 0,6b: -5 to 0
45063,6b,-5 to 0,6b: -5 to 0
45064,6a,-10 to -5,6a: -10 to -5
45065,6b,-5 to 0,6b: -5 to 0
45066,6b,-5 to 0,6b: -5 to 0
45067,6b,-5 to 0,6b: -5 to 0
45068,6b,-5 to 0,6b: -5 to 0
45069,6b,-5 to 0,6b: -5 to 0
45070,6a,-10 to -5,6a: -10 to -5
45071,6b,-5 to 0,6b: -5 to 0
45101,6b,-5 to 0,6b: -5 to 0
45102,6b,-5 to 0,6b: -5 to 0
45103,6b,-5 to 0,6b: -5 to 0
45105,6b,-5 to 0,6b: -5 to 0
45106,6b,-5 to 0,6b: -5 to 0
45107,6b,-5 to 0,6b: -5 to 0
45111,6b,-5 to 0,6b: -5 to 0
45112,6b,-5 to 0,6b: -5 to 0
45113,6b,-5 to 0,6b: -5 to 0
45114,6b,-5 to 0,6b: -5 to 0
45115,6b,-5 to 0,6b: -5 to 0
45118,6b,-5 to 0,6b: -5 to 0
45119,6b,-5 to 0,6b: -5 to 0
45120,6b,-5 to 0,6b: -5 to 0
45121,6b,-5 to 0,6b: -5 to 0
45122,6b,-5 to 0,6b: -5 to 0
45123,6b,-5 to 0,6b: -5 to 0
45130,6b,-5 to 0,6b: -5 to 0
45131,6b,-5 to 0,6b: -5 to 0
45132,6b,-5 to 0,6b: -5 to 0
45133,6b,-5 to 0,6b: -5 to 0
45135,6b,-5 to 0,6b: -5 to 0
45140,6b,-5 to 0,6b: -5 to 0
45142,6b,-5 to 0,6b: -5 to 0
45144,6b,-5 to 0,6b: -5 to 0
45146,6b,-5 to 0,6b: -5 to 0
45147,6b,-5 to 0,6b: -5 to 0
45148,6b,-5 to 0,6b: -5 to 0
45150,6b,-5 to 0,6b: -5 to 0
45152,6b,-5 to 0,6b: -5 to 0
45153,6b,-5 to 0,6b: -5 to 0
45154,6b,-5 to 0,6b: -5 to 0
45155,6b,-5 to 0,6b: -5 to 0
45156,7a,0 to 5,7a: 0 to 5
45157,6b,-5 to 0,6b: -5 to 0
45158,6b,-5 to 0,6b: -5 to 0
45159,6b,-5 to 0,6b: -5 to 0
45160,6b,-5 to 0,6b: -5 to 0
45162,6b,-5 to 0,6b: -5 to 0
45166,6b,-5 to 0,6b: -5 to 0
45167,6b,-5 to 0,6b: -5 to 0
45168,6b,-5 to 0,6b: -5 to 0
45169,6b,-5 to 0,6b: -5 to 0
45171,6b,-5 to 0,6b: -5 to 0
45172,6b,-5 to 0,6b: -5 to 0
45174,6b,-5 to 0,6b: -5 to 0
45176,6b,-5 to 0,6b: -5 to 0
45177,6b,-5 to 0,6b: -5 to 0
45201,6b,-5 to 0,6b: -5 to 0
45202,6b,-5 to 0,6b: -5 to 0
45203,6b,-5 to 0,6b: -5 to 0
45204,6b,-5 to 0,6b: -5 to 0
45205,6b,-5 to 0,6b: -5 to 0
45206,6b,-5 to 0,6b: -5 to 0
45207,6b,-5 to 0,6b: -5 to 0
45208,6b,-5 to 0,6b: -5 to 0
45209,6b,-5 to 0,6b: -5 to 0
45211,6b,-5 to 0,6b: -5 to 0
45212,6b,-5 to 0,6b: -5 to 0
45213,6b,-5 to 0,6b: -5 to 0
45214,6b,-5 to 0,6b: -5 to 0
45215,6b,-5 to 0,6b: -5 to 0
45216,6b,-5 to 0,6b: -5 to 0
45217,6b,-5 to 0,6b: -5 to 0
45218,6b,-5 to 0,6b: -5 to 0
45219,6b,-5 to 0,6b: -5 to 0
45220,6b,-5 to 0,6b: -5 to 0
45221,6b,-5 to 0,6b: -5 to 0
45222,6b,-5 to 0,6b: -5 to 0
45223,6b,-5 to 0,6b: -5 to 0
45224,6b,-5 to 0,6b: -5 to 0
45225,6b,-5 to 0,6b: -5 to 0
45226,6b,-5 to 0,6b: -5 to 0
45227,6b,-5 to 0,6b: -5 to 0
45229,6b,-5 to 0,6b: -5 to 0
45230,6b,-5 to 0,6b: -5 to 0
45231,6b,-5 to 0,6b: -5 to 0
45232,6b,-5 to 0,6b: -5 to 0
45233,6b,-5 to 0,6b: -5 to 0
45234,6b,-5 to 0,6b: -5 to 0
45235,6b,-5 to 0,6b: -5 to 0
45236,6b,-5 to 0,6b: -5 to 0
45237,6b,-5 to 0,6b: -5 to 0
45238,6b,-5 to 0,6b: -5 to 0
45239,6b,-5 to 0,6b: -5 to 0
45240,6b,-5 to 0,6b: -5 to 0
45241,6b,-5 to 0,6b: -5 to 0
45242,6b,-5 to 0,6b: -5 to 0
45243,6b,-5 to 0,6b: -5 to 0
45244,6b,-5 to 0,6b: -5 to 0
45245,6b,-5 to 0,6b: -5 to 0
45246,6b,-5 to 0,6b: -5 to 0
45247,6b,-5 to 0,6b: -5 to 0
45248,6b,-5 to 0,6b: -5 to 0
45249,6b,-5 to 0,6b: -5 to 0
45250,6b,-5 to 0,6b: -5 to 0
45251,6b,-5 to 0,6b: -5 to 0
45252,6b,-5 to 0,6b: -5 to 0
45253,6b,-5 to 0,6b: -5 to 0
45254,6b,-5 to 0,6b: -5 to 0
45255,6b,-5 to 0,6b: -5 to 0
45258,6b,-5 to 0,6b: -5 to 0
45262,6b,-5 to 0,6b: -5 to 0
45263,6b,-5 to 0,6b: -5 to 0
45264,6b,-5 to 0,6b: -5 to 0
45267,6b,-5 to 0,6b: -5 to 0
45268,6b,-5 to 0,6b: -5 to 0
45269,6b,-5 to 0,6b: -5 to 0
45270,6b,-5 to 0,6b: -5 to 0
45271,6b,-5 to 0,6b: -5 to 0
45273,6b,-5 to 0,6b: -5 to 0
45274,6b,-5 to 0,6b: -5 to 0
45277,6b,-5 to 0,6b: -5 to 0
45280,6b,-5 to 0,6b: -5 to 0
45296,6b,-5 to 0,6b: -5 to 0
45298,6b,-5 to 0,6b: -5 to 0
45299,6b,-5 to 0,6b: -5 to 0
45302,6a,-10 to -5,6a: -10 to -5
45303,6a,-10 to -5,6a: -10 to -5
45304,6a,-10 to -5,6a: -10 to -5
45305,6b,-5 to 0,6b: -5 to 0
45306,6a,-10 to -5,6a: -10 to -5
45307,6b,-5 to 0,6b: -5 to 0
45308,6a,-10 to -5,6a: -10 to -5
45309,6a,-10 to -5,6a: -10 to -5
45311,6a,-10 to -5,6a: -10 to -5
45312,6a,-10 to -5,6a: -10 to -5
45314,6a,-10 to -5,6a: -10 to -5
45315,6a,-10 to -5,6a: -10 to -5
45316,6a,-10 to -5,6a: -10 to -5
45317,6a,-10 to -5,6a: -10 to -5
45318,6a,-10 to -5,6a: -10 to -5
45319,6a,-10 to -5,6a: -10 to -5
45320,6a,-10 to -5,6a: -10 to -5
45321,6a,-10 to -5,6a: -10 to -5
45322,6a,-10 to -5,6a: -10 to -5
45323,6b,-5 to 0,6b: -5 to 0
45324,6b,-5 to 0,6b: -5 to 0
45325,6b,-5 to 0,6b: -5 to 0
45326,6a,-10 to -5,6a: -10 to -5
45327,6b,-5 to 0,6b: -5 to 0
45328,6a,-10 to -5,6a: -10 to -5
45330,6a,-10 to -5,6a: -10 to -5
45331,6a,-10 to -5,6a: -10 to -5
45332,6a,-10 to -5,6a: -10 to -5
45333,6a,-10 to -5,6a: -10 to -5
45334,6a,-10 to -5,6a: -10 to -5
45335,6b,-5 to 0,6b: -5 to 0
45336,6a,-10 to -5,6a: -10 to -5
45337,6a,-10 to -5,6a: -10 to -5
45338,6a,-10 to -5,6a: -10 to -5
45339,6a,-10 to -5,6a: -10 to -5
45340,6a,-10 to -5,6a: -10 to -5
45341,6b,-5 to 0,6b: -5 to 0
45342,6b,-5 to 0,6b: -5 to 0
45343,6b,-5 to 0,6b: -5 to 0
45344,6a,-10 to -5,6a: -10 to -5
45345,6a,-10 to -5,6a: -10 to -5
45346,6a,-10 to -5,6a: -10 to -5
45347,6a,-10 to -5,6a: -10 to -5
45348,6a,-10 to -5,6a: -10 to -5
45349,6a,-10 to -5,6a: -10 to -5
45350,6a,-10 to -5,6a: -10 to -5
45351,6a,-10 to -5,6a: -10 to -5
45352,6a,-10 to -5,6a: -10 to -5
45353,6a,-10 to -5,6a: -10 to -5
45354,6a,-10 to -5,6a: -10 to -5
45356,6a,-10 to -5,6a: -10 to -5
45359,6a,-10 to -5,6a: -10 to -5
45360,6a,-10 to -5,6a: -10 to -5
45361,6a,-10 to -5,6a: -10 to -5
45362,6a,-10 to -5,6a: -10 to -5
45363,6a,-10 to -5,6a: -10 to -5
45365,6a,-10 to -5,6a: -10 to -5
45367,6a,-10 to -5,6a: -10 to -5
45368,6a,-10 to -5,6a: -10 to -5
45369,6a,-10 to -5,6a: -10 to -5
45370,6b,-5 to 0,6b: -5 to 0
45371,6a,-10 to -5,6a: -10 to -5
45372,6a,-10 to -5,6a: -10 to -5
45373,6a,-10 to -5,6a: -10 to -5
45374,6a,-10 to -5,6a: -10 to -5
45377,6b,-5 to 0,6b: -5 to 0
45378,6a,-10 to -5,6a: -10 to -5
45380,6a,-10 to -5,6a: -10 to -5
45381,6a,-10 to -5,6a: -10 to -5
45382,6a,-10 to -5,6a: -10 to -5
45383,6a,-10 to -5,6a: -10 to -5
45384,6b,-5 to 0,6b: -5 to 0
45385,6b,-5 to 0,6b: -5 to 0
45387,6a,-10 to -5,6a: -10 to -5
45388,6a,-10 to -5,6a: -10 to -5
45389,6a,-10 to -5,6a: -10 to -5
45390,6a,-10 to -5,6a: -10 to -5
45401,6b,-5 to 0,6b: -5 to 0
45402,6b,-5 to 0,6b: -5 to 0
45403,6b,-5 to 0,6b: -5 to 0
45404,6b,-5 to 0,6b: -5 to 0
45405,6b,-5 to 0,6b: -5 to 0
45406,6b,-5 to 0,6b: -5 to 0
45409,6b,-5 to 0,6b: -5 to 0
45410,6b,-5 to 0,6b: -5 to 0
45412,6b,-5 to 0,6b: -5 to 0
45413,6b,-5 to 0,6b: -5 to 0
45414,6b,-5 to 0,6b: -5 to 0
45415,6b,-5 to 0,6b: -5 to 0
45416,6b,-5 to 0,6b: -5 to 0
45417,6b,-5 to 0,6b: -5 to 0
45419,6b,-5 to 0,6b: -5 to 0
45420,6b,-5 to 0,6b: -5 to 0
45422,6b,-5 to 0,6b: -5 to 0
45423,6b,-5 to 0,6b: -5 to 0
45424,6b,-5 to 0,6b: -5 to 0
45426,6b,-5 to 0,6b: -5 to 0
45428,6b,-5 to 0,6b: -5 to 0
45429,6b,-5 to 0,6b: -5 to 0
45430,6b,-5 to 0,6b: -5 to 0
45431,6b,-5 to 0,6b: -5 to 0
45432,6b,-5 to 0,6b: -5 to 0
45433,6b,-5 to 0,6b: -5 to 0
45434,6b,-5 to 0,6b: -5 to 0
45435,6b,-5 to 0,6b: -5 to 0
45437,6b,-5 to 0,6b: -5 to 0
45439,6b,-5 to 0,6b: -5 to 0
45440,6b,-5 to 0,6b: -5 to 0
45441,6b,-5 to 0,6b: -5 to 0
45448,6b,-5 to 0,6b: -5 to 0
45449,6b,-5 to 0,6b: -5 to 0
45458,6b,-5 to 0,6b: -5 to 0
45459,6b,-5 to 0,6b: -5 to 0
45470,6b,-5 to 0,6b: -5 to 0
45475,6b,-5 to 0,6b: -5 to 0
45479,6b,-5 to 0,6b: -5 to 0
45481,6b,-5 to 0,6b: -5 to 0
45482,6b,-5 to 0,6b: -5 to 0
45490,6b,-5 to 0,6b: -5 to 0
45501,6a,-10 to -5,6a: -10 to -5
45502,6a,-10 to -5,6a: -10 to -5
45503,6a,-10 to -5,6a: -10 to -5
45504,6a,-10 to -5,6a: -10 to -5
45505,6a,-10 to -5,6a: -10 to -5
45506,6a,-10 to -5,6a: -10 to -5
45601,6b,-5 to 0,6b: -5 to 0
45612,6b,-5 to 0,6b: -5 to 0
45613,6b,-5 to 0,6b: -5 to 0
45614,6b,-5 to 0,6b: -5 to 0
45616,6b,-5 to 0,6b: -5 to 0
45617,6b,-5 to 0,6b: -5 to 0
45618,6b,-5 to 0,6b: -5 to 0
45619,7a,0 to 5,7a: 0 to 5
45620,6b,-5 to 0,6b: -5 to 0
45621,6b,-5 to 0,6b: -5 to 0
45622,6b,-5 to 0,6b: -5 to 0
45623,7a,0 to 5,7a: 0 to 5
45624,6b,-5 to 0,6b: -5 to 0
45628,6b,-5 to 0,6b: -5 to 0
45629,7a,0 to 5,7a: 0 to 5
45630,6b,-5 to 0,6b: -5 to 0
45631,6b,-5 to 0,6b: -5 to 0
45633,6b,-5 to 0,6b: -5 to 0
45634,6b,-5 to 0,6b: -5 to 0
45636,7a,0 to 5,7a: 0 to 5
45638,7a,0 to 5,7a: 0 to 5
45640,6b,-5 to 0,6b: -5 to 0
45642,6b,-5 to 0,6b: -5 to 0
45643,6b,-5 to 0,6b: -5 to 0
45644,6b,-5 to 0,6b: -5 to 0
45645,7a,0 to 5,7a: 0 to 5
45646,6b,-5 to 0,6b: -5 to 0
45647,6b,-5 to 0,6b: -5 to 0
45648,6b,-5 to 0,6b: -5 to 0
45650,6b,-5 to 0,6b: -5 to 0
45651,6b,-5 to 0,6b: -5 to 0
45652,6b,-5 to 0,6b: -5 to 0
45653,6b,-5 to 0,6b: -5 to 0
45654,6b,-5 to 0,6b: -5 to 0
45656,6b,-5 to 0,6b: -5 to 0
45657,6b,-5 to 0,6b: -5 to 0
45658,6b,-5 to 0,6b: -5 to 0
45659,7a,0 to 5,7a: 0 to 5
45660,6b,-5 to 0,6b: -5 to 0
45661,6b,-5 to 0,6b: -5 to 0
45662,7a,0 to 5,7a: 0 to 5
45663,6b,-5 to 0,6b: -5 to 0
45669,7a,0 to 5,7a: 0 to 5
45671,6b,-5 to 0,6b: -5 to 0
45672,6b,-5 to 0,6b: -5 to 0
45673,6b,-5 to 0,6b: -5 to 0
45674,6b,-5 to 0,6b: -5 to 0
45677,7a,0 to 5,7a: 0 to 5
45678,7a,0 to 5,7a: 0 to 5
45679,6b,-5 to 0,6b: -5 to 0
45680,7a,0 to 5,7a: 0 to 5
45681,6b,-5 to 0,6b: -5 to 0
45682,7a,0 to 5,7a: 0 to 5
45683,6b,-5 to 0,6b: -5 to 0
45684,6b,-5 to 0,6b: -5 to 0
45685,6b,-5 to 0,6b: -5 to 0
45686,6b,-5 to 0,6b: -5 to 0
45687,6b,-5 to 0,6b: -5 to 0
45688,7a,0 to 5,7a: 0 to 5
45690,6b,-5 to 0,6b: -5 to 0
45692,6b,-5 to 0,6b: -5 to 0
45693,6b,-5 to 0,6b: -5 to 0
45694,7a,0 to 5,7a: 0 to 5
45695,6b,-5 to 0,6b: -5 to 0
45696,7a,0 to 5,7a: 0 to 5
45697,6b,-5 to 0,6b: -5 to 0
45698,6b,-5 to 0,6b: -5 to 0
45699,6b,-5 to 0,6b: -5 to 0
45701,6b,-5 to 0,6b: -5 to 0
45710,6b,-5 to 0,6b: -5 to 0
45711,6b,-5 to 0,6b: -5 to 0
45712,6b,-5 to 0,6b: -5 to 0
45713,6b,-5 to 0,6b: -5 to 0
45714,6b,-5 to 0,6b: -5 to 0
45715,6b,-5 to 0,6b: -5 to 0
45716,6a,-10 to -5,6a: -10 to -5
45717,6b,-5 to 0,6b: -5 to 0
45719,6b,-5 to 0,6b: -5 to 0
45720,6b,-5 to 0,6b: -5 to 0
45721,6b,-5 to 0,6b: -5 to 0
45723,6b,-5 to 0,6b: -5 to 0
45724,6b,-5 to 0,6b: -5 to 0
45727,6b,-5 to 0,6b: -5 to 0
45729,6b,-5 to 0,6b: -5 to 0
45732,6b,-5 to 0,6b: -5 to 0
45734,6b,-5 to 0,6b: -5 to 0
45735,6b,-5 to 0,6b: -5 to 0
45739,6b,-5 to 0,6b: -5 to 0
45740,6b,-5 to 0,6b: -5 to 0
45741,6b,-5 to 0,6b: -5 to 0
45742,6b,-5 to 0,6b: -5 to 0
45743,6b,-5 to 0,6b: -5 to 0
45744,6b,-5 to 0,6b: -5 to 0
45745,6b,-5 to 0,6b: -5 to 0
45746,6b,-5 to 0,6b: -5 to 0
45750,6b,-5 to 0,6b: -5 to 0
45760,6b,-5 to 0,6b: -5 to 0
45761,6b,-5 to 0,6b: -5 to 0
45764,6b,-5 to 0,6b: -5 to 0
45766,6b,-5 to 0,6b: -5 to 0
45767,6b,-5 to 0,6b: -5 to 0
45768,6b,-5 to 0,6b: -5 to 0
45769,6b,-5 to 0,6b: -5 to 0
45770,6b,-5 to 0,6b: -5 to 0
45771,6b,-5 to 0,6b: -5 to 0
45772,6b,-5 to 0,6b: -5 to 0
45773,6b,-5 to 0,6b: -5 to 0
45775,6b,-5 to 0,6b: -5 to 0
45776,6b,-5 to 0,6b: -5 to 0
45777,6b,-5 to 0,6b: -5 to 0
45778,6b,-5 to 0,6b: -5 to 0
45779,6b,-5 to 0,6b: -5 to 0
45780,6b,-5 to 0,6b: -5 to 0
45782,6b,-5 to 0,6b: -5 to 0
