Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other Uses,Link
Gentiana cruciata,,Perennial,0.4,-,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana cruciata
Gentiana dahurica,,Perennial,0.3,4-8,,LMH,SN,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana dahurica
Gentiana decumbens,,Perennial,0.3,4-8,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana decumbens
Gentiana kurroo,,Perennial,0.2,6-9,,LMH,SN,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana kurroo
Gentiana lutea,Yellow Gentian,Perennial,1.2,4-8,,LMH,SN,M,1,5,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana lutea
Gentiana macrophylla,Qin Jiao,Perennial,0.6,5-9,,LMH,SN,M,1,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana macrophylla
Gentiana manshurica,,Perennial,0.3,-,,LMH,SN,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana manshurica
Gentiana pannonica,,Perennial,0.6,4-8,,LMH,SN,M,1,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana pannonica
Gentiana pneumonanthe,Marsh Gentian,Perennial,0.3,-,,LMH,SN,M,0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana pneumonanthe
Gentiana puberulenta,Downy gentian,Perennial,0.4,5-9,,LMH,SN,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana puberulenta
Gentiana punctata,Spotted Gentian,Perennial,0.6,4-8,,LMH,SN,M,1,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana punctata
Gentiana purpurea,,Perennial,0.6,4-8,,LMH,SN,M,1,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana purpurea
Gentiana saponaria,Harvestbells,Perennial,0.8,4-8,,LMH,SN,MWe,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana saponaria
Gentiana scabra,Long Dan Cao,Perennial,0.3,4-8,,LMH,SN,M,1,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana scabra
Gentiana scabra buergeri,,Perennial,0.5,4-8,,LMH,SN,M,1,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana scabra buergeri
Gentiana straminea,,Perennial,0.3,4-8,,LMH,SN,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana straminea
Gentiana thunbergii,,Annual/Biennial,0.2,-,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana thunbergii
Gentiana triflora,,Perennial,0.5,4-8,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana triflora
Gentiana tubiflora,,Perennial,0.1,5-9,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Gentiana tubiflora
Gentianella amarella,"Felwort, Autumn dwarf gentian",Biennial,0.3,0-0,,LMH,SN,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gentianella amarella
Gentianella diemensis,,Annual/Perennial,0.3,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Gentianella diemensis
Gentianella quinquefolia,Ague Weed,Annual/Biennial,0.6,-,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Gentianella quinquefolia
Geocaulon lividum,False Toadflax,Perennial,0.0,-,,LMH,SN,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geocaulon lividum
Geodorum densiflorum,Nodding Swamp Orchid,Perennial,0.3,10-12,F,LM,N,M,0,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Geodorum densiflorum
Geranium bicknellii,Bicknell's cranesbill,Annual/Biennial,0.6,0-0,,LMH,N,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium bicknellii
Geranium dissectum,"Cut-Leafed Cranesbill, Cutleaf geranium",Annual,0.6,6-9,,LMH,N,M,1,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Geranium dissectum
Geranium erianthum,Wooly Geranium,Perennial,0.3,3-7,,LMH,SN,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium erianthum
Geranium incanum,"Geranium, Cranesbill",Perennial,0.4,4-9,F,LMH,N,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium incanum
Geranium lucidum,Shining geranium,Annual,0.5,6-9,,LMH,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium lucidum
Geranium macrorrhizum,Bigroot Geranium,Perennial,0.5,4-8,F,LMH,FSN,DM,0,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Geranium macrorrhizum
Geranium maculatum,"Spotted Cranesbill, Spotted geranium, Crowfoot, Wild Geranium, Cranesbill",Perennial,0.6,3-10,M,LMH,N,MWe,0,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Geranium maculatum
Geranium molle,Dovefoot Geranium,Annual,0.4,-,,LMH,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium molle
Geranium nepalense,Nepalese Crane's Bill,Perennial,1.0,6-9,,LMH,N,M,1,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Geranium nepalense
Geranium ocellatum,,Annual,0.3,-,,LMH,N,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium ocellatum
Geranium pilosum,,Perennial,0.3,-,,LMH,N,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium pilosum
Geranium potentilloides,"Native Carrot, Cinquefoil geranium",Perennial,0.6,0-0,,LMH,N,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium potentilloides
Geranium pratense,"Meadow Crane's Bill,  Meadow geranium, Geranium",Perennial,1.2,5-9,F,LMH,N,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium pratense
Geranium pusillum,Small geranium,Perennial,1.0,6-9,,LMH,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium pusillum
Geranium robertianum,"Herb Robert, Robert geranium",Annual/Biennial,0.4,5-9,,LMH,SN,DM,0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Geranium robertianum
Geranium rotundifolium,Roundleaf geranium,Annual,0.4,6-9,,LMH,N,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium rotundifolium
Geranium sibiricum,Siberian geranium,Perennial,0.2,5-9,,LMH,N,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium sibiricum
Geranium solanderi,Solander's Geranium,Perennial,0.6,-,,LMH,N,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium solanderi
Geranium sylvaticum,"Wood Cranesbill, Woodland geranium",Perennial,1.0,4-8,,LMH,FSN,M,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Geranium sylvaticum
Geranium thunbergii,Thunberg's geranium,Perennial,0.3,6-9,,LMH,N,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium thunbergii
Geranium tuberosum,,Perennial,0.3,7-10,,LMH,N,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium tuberosum
Geranium viscosissimum,"Sticky Geranium, Sticky purple geranium",Perennial,0.8,6-9,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium viscosissimum
Geranium wallichianum,,Perennial,0.3,6-9,,LMH,SN,M,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Geranium wallichianum
Geranium wilfordii,,Perennial,0.6,-,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Geranium wilfordii
Gerbera lanuginosa,,Perennial,0.3,-,,LMH,SN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Gerbera lanuginosa
Geum aleppicum,Yellow Avens,Perennial,0.6,3-7,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Geum aleppicum
Geum canadense,"White Avens, Texan avens",Perennial,0.8,3-7,,LMH,SN,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Geum canadense
Geum japonicum,,Perennial,0.6,6-9,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Geum japonicum
Geum pentapetalum,Aleutian avens,Shrub,0.2,7-10,,LMH,SN,MWe,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Geum pentapetalum
Geum rivale,"Water Avens, Purple avens",Perennial,0.3,3-7,,LMH,SN,MWe,3,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Geum rivale
Geum triflorum,"Purple Avens, Old man's whiskers, Prairie Smoke",Perennial,0.3,1-5,M,LMH,SN,M,2,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Geum triflorum
Geum urbanum,"Wood Avens, Bennet's Root - Old man's whiskers, Herb bennet",Perennial,0.5,5-9,,LMH,SN,M,3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Geum urbanum
Gevuina avellana,Chilean Hazel,Shrub,10.0,8-11,S,LMH,S,M,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Gevuina avellana
Gigantochloa albociliata,Clumping bamboo,Bamboo,12.0,10-11,F,LMH,SN,M,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Gigantochloa albociliata
Gigantochloa apus,Watho. Tabashir Bamboo,Bamboo,20.0,9-11,F,LMH,SN,M,2,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Gigantochloa apus
Gigantochloa atroviolacea,Black Bamboo. Giant Black bamboo,Bamboo,12.0,9-11,M,LMH,SN,M,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Gigantochloa atroviolacea
Gigantochloa balui,Clumping Bamboo,Bamboo,10.0,10-12,F,LMH,N,M,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Gigantochloa balui
Gigantochloa hasskarliana,Awi Tela,Bamboo,10.0,10-12,F,LMH,SN,M,4,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Gigantochloa hasskarliana
Gigantochloa levis,"Bulo semilang, Buloh seremai, Bolo",Bamboo,15.0,9-10,F,LMH,SN,M,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Gigantochloa levis
Gigantochloa verticillata,"Whorled bamboo, Giant stripy bamboo",Bamboo,15.0,10-12,F,LM,N,M,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Gigantochloa verticillata
Gillenia stipulata,"American Ipecacuanna, American ipecac",Perennial,1.2,4-8,,LMH,S,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gillenia stipulata
Gillenia trifoliata,"Indian Physic, Bowman's root",Perennial,1.2,4-9,M,LMH,SN,M,0,3,,https://pfaf.org/user/Plant.aspx?LatinName=Gillenia trifoliata
Gingidia harveyana,,Perennial,0.5,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gingidia harveyana
Ginkgo biloba,"Maidenhair Tree, Ginkgo",Tree,30.0,3-8,S,LMH,N,DM,5,5,2,https://pfaf.org/user/Plant.aspx?LatinName=Ginkgo biloba
Girardinia diversifolia,Himalayan Nettle,Annual/Perennial,3.0,-,,LMH,SN,M,2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Girardinia diversifolia
Gladiolus cruentus,,Corm,0.9,7-10,,LM,N,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gladiolus cruentus
Gladiolus dalenii,Cornflag,Corm,1.5,0-0,,LM,N,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gladiolus dalenii
Gladiolus permeabilis edulis,,Corm,0.4,8-11,,LM,SN,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gladiolus permeabilis edulis
Gladiolus quartinianus,,Corm,1.2,8-11,,LM,SN,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gladiolus quartinianus
Gladiolus spicatus,,Bulb,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gladiolus spicatus
Gladiolus unguiculatus,,Bulb,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gladiolus unguiculatus
Gladiolus zambesiacus,,Bulb,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gladiolus zambesiacus
Glandularia canadensis,Rose Verbena,Perennial,0.3,5-9,M,LMH,SN,DM,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Glandularia canadensis
Glaucium flavum,"Horned Poppy, Yellow hornpoppy",Perennial,0.6,6-9,S,LMH,N,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Glaucium flavum
Glaux maritima,"Black Saltwort, Sea milkwort",Perennial,0.3,0-0,,LMH,N,M,2,1,,https://pfaf.org/user/Plant.aspx?LatinName=Glaux maritima
Glechoma hederacea,"Ground Ivy, Field Balm, Gill Over The Ground, Runaway Robin",Perennial,0.2,3-10,F,MH,SN,M,2,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Glechoma hederacea
Gleditsia aquatica,Water Locust,Tree,12.0,5-9,S,LMH,N,MWe,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Gleditsia aquatica
Gleditsia caspica,Caspian Locust,Tree,12.0,6-8,M,LMH,N,DM,1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Gleditsia caspica
Gleditsia japonica,,Tree,20.0,5-9,M,LMH,N,DM,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Gleditsia japonica
Gleditsia koraiensis,Korean Honey Locust,Tree,20.0,-,,LMH,N,DM,2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Gleditsia koraiensis
Gleditsia macracantha,,Tree,18.0,5-9,M,LMH,N,DM,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Gleditsia macracantha
Gleditsia sinensis,Locust,Tree,12.0,8-9,M,LMH,N,DM,3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Gleditsia sinensis
Gleditsia triacanthos,Honey Locust,Tree,20.0,4-8,M,LMH,N,DM,3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Gleditsia triacanthos
Glehnia littoralis,"Bei Sha Shen, American silvertop",Perennial,0.3,0-0,,LM,SN,M,2,2,,https://pfaf.org/user/Plant.aspx?LatinName=Glehnia littoralis
Gliricidia sepium,"Gliricidia, Forest Lilac, Mexican Lilac",Shrub,10.0,10-12,F,LMH,N,M,2,2,5,https://pfaf.org/user/Plant.aspx?LatinName=Gliricidia sepium
Globularia vulgaris,,Perennial,0.2,5-9,,LM,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Globularia vulgaris
Glochidion eriocarpum,,Shrub,4.0,-,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Glochidion eriocarpum
Glochidion puberum,Needlebush,Shrub,3.0,0-0,,LMH,SN,M,0,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Glochidion puberum
Gloriosa superba,"Gloriosa Lily, Climbing Lily, Flame Lily",Perennial Climber,2.5,8-12,M,LMH,SN,M,0,4,2,https://pfaf.org/user/Plant.aspx?LatinName=Gloriosa superba
Gluta laccifera,Lacquer tree,Tree,18.0,10-12,M,LMH,N,M,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Gluta laccifera
Gluta usitata,Burmese Varnish Tree,Tree,25.0,10-12,M,LMH,N,M,0,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Gluta usitata
Glyceria acutiflora,Creeping mannagrass,Perennial,0.6,0-0,,LMH,N,WeWa,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Glyceria acutiflora
Glyceria borealis,Small floating mannagrass,Perennial,1.5,0-0,,LMH,SN,WeWa,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Glyceria borealis
Glyceria fluitans,"Floating Manna Grass, Water mannagrass",Perennial,0.5,4-8,,LMH,N,WeWa,3,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Glyceria fluitans
Glyceria occidentalis,Northwestern mannagrass,Perennial,1.0,0-0,,LMH,SN,WeWa,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Glyceria occidentalis
Glyceria plicata,,Perennial,0.8,-,,LMH,SN,WeWa,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Glyceria plicata
Glyceria septentrionalis,"Eastern Manna Grass, Floating mannagrass",Perennial,1.5,0-0,,LMH,SN,WeWa,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Glyceria septentrionalis
Glyceria striata,"Fowl Manna Grass, Fowl mannagrass",Perennial,1.5,0-0,,LMH,SN,WeWa,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Glyceria striata
Glycine max,Soya Bean,Annual,0.6,7-10,,LM,N,M,4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Glycine max
Glycine soja,Wild Soya Bean,Annual,0.6,7-10,,LM,N,M,3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Glycine soja
Glycine spp.,Perennial Soybean,Perennial,0.6,7-11,F,LM,S,M,4,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Glycine spp.
Glycine tabacina,"Glycine Pea, Glycine",Perennial Climber,0.0,0-0,,LMH,SN,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Glycine tabacina
Glycyrrhiza aspera,,Perennial,0.3,0-0,,LM,SN,M,1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Glycyrrhiza aspera
Glycyrrhiza echinata,"Wild Liquorice, Chinese licorice",Perennial,1.0,7-10,,LM,SN,M,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Glycyrrhiza echinata
Glycyrrhiza glabra,"Liquorice, Cultivated licorice",Perennial,1.2,7-10,,LM,SN,M,4,4,4,https://pfaf.org/user/Plant.aspx?LatinName=Glycyrrhiza glabra
Glycyrrhiza lepidota,American Liquorice,Perennial,1.0,3-8,,LM,SN,M,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Glycyrrhiza lepidota
Glycyrrhiza malensis,,Perennial,0.0,0-0,,LM,SN,M,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Glycyrrhiza malensis
Glycyrrhiza uralensis,Gan Cao,Perennial,0.6,5-9,,LMH,SN,M,3,4,3,https://pfaf.org/user/Plant.aspx?LatinName=Glycyrrhiza uralensis
Glyptostrobus pensilis,Chinese Swamp Cypress,Tree,10.0,7-10,M,LMH,N,WeWa,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Glyptostrobus pensilis
Gmelina arborea,"Gmelina, Snapdragon, White Teak",Tree,25.0,9-12,F,LMH,SN,M,2,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Gmelina arborea
Gnaphalium affine,,Biennial,0.3,-,,LM,SN,DM,1,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Gnaphalium affine
Gnaphalium hypoleucum,,Annual,0.6,-,,LMH,N,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Gnaphalium hypoleucum
Gnaphalium indicum,,Annual,0.2,-,,LM,SN,DM,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gnaphalium indicum
Gnaphalium japonicum,,Annual,0.4,-,,LM,N,DM,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Gnaphalium japonicum
Gnaphalium keriense,,Annual,0.2,-,,LM,SN,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Gnaphalium keriense
Gnaphalium luteoalbum,Jersey Cudweed,Annual/Biennial,0.2,-,,LM,SN,DM,1,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Gnaphalium luteoalbum
Gnaphalium uliginosum,Marsh Cudweed,Annual,0.2,-,,LM,SN,M,0,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Gnaphalium uliginosum
Gnetum africanum,"Eru, African Jointfir",Climber,12.0,10-12,F,LMH,SN,M,4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Gnetum africanum
Gnetum buchholzianum,Jointfir,Climber,10.0,10-12,F,LMH,FSN,M,4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Gnetum buchholzianum
Gnetum gnemon,"Jointfir, Melinjo, Meninjau",Tree,15.0,10-12,S,MH,FSN,M,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Gnetum gnemon
Goniorrhachis marginata,Goniorrhachis,Tree,25.0,10-12,M,LMH,N,M,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Goniorrhachis marginata
Gonostegia hirta,,Perennial,1.0,-,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Gonostegia hirta
Goodenia ovata,,Shrub,1.8,8-11,,LMH,SN,MW,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Goodenia ovata
Goodenia varia,,Shrub,0.6,8-11,,LMH,SN,M,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Goodenia varia
Goodyera oblongifolia,Western Rattlesnake Plantain,Perennial,0.3,6-9,,LM,SN,DM,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Goodyera oblongifolia
Goodyera pubescens,Downy Rattlesnake Plantain,Perennial,0.4,6-10,M,LM,SN,DM,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Goodyera pubescens
Goodyera repens,"Creeping Lady's Tresses, Lesser rattlesnake plantain",Perennial,0.3,5-9,,LM,SN,DM,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Goodyera repens
Gossypium arboreum,Tree Cotton,Shrub,5.0,10-12,F,LMH,N,M,2,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Gossypium arboreum
Gossypium barbadense,Sea Island Cotton,Shrub,3.0,10-12,F,LM,N,M,3,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Gossypium barbadense
Gossypium herbaceum,Levant cotton,Shrub,1.2,9-12,F,LM,SN,M,3,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Gossypium herbaceum
Gossypium hirsutum,Upland Cotton,Shrub,2.0,5-10,F,LMH,N,M,2,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Gossypium hirsutum
Gouania lupuloides,Chew Stick,Climber,10.0,10-12,M,LMH,N,M,2,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Gouania lupuloides
Gratiola officinalis,Hedge Hyssop,Perennial,0.4,-,,LMH,SN,MWe,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Gratiola officinalis
Gratiola pedunculata,,Perennial,0.3,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Gratiola pedunculata
Grazielodendron riodocensis,Grazielodendron,Tree,23.0,10-12,S,LMH,SN,M,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Grazielodendron riodocensis
Greigia sphacelata,,Perennial,0.9,9-11,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Greigia sphacelata
Grevillea robusta,Silky Oak,Tree,30.0,9-11,F,LMH,SN,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Grevillea robusta
Grewia biloba parviflora,,Shrub,3.0,5-9,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Grewia biloba parviflora
Grewia oppositifolia,,Shrub,0.0,8-11,,LMH,SN,M,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Grewia oppositifolia
Griffonia simplicifolia,Griffonia,Climber,3.0,10-12,M,LMH,N,M,2,4,2,https://pfaf.org/user/Plant.aspx?LatinName=Griffonia simplicifolia
Grindelia camporum,"Gumplant, Great Valley gumweed,  Bract gumweed",Annual/Perennial,1.2,7-10,,LM,N,DM,0,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Grindelia camporum
Grindelia hirsutula,"Gumweed, Gum Plant",Perennial,1.0,8-11,F,LM,N,DM,0,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Grindelia hirsutula
Grindelia humilis,Hairy Gumweed,Perennial,1.5,7-10,,LM,N,DM,0,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Grindelia humilis
Grindelia lanceolata,"Rosin Weed,  Narrowleaf gumweed, Texan gumweed",Biennial/Perennial,1.5,4-8,,LM,N,DM,1,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Grindelia lanceolata
Grindelia robusta,Great Valley Gumweed,Perennial,0.6,6-9,,LM,N,DM,1,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Grindelia robusta
Grindelia squarrosa,"Rosin Weed, Curlycup gumweed",Biennial/Perennial,1.0,3-7,,LM,N,DM,2,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Grindelia squarrosa
Griselinia littoralis,,Shrub,6.0,6-9,M,LM,SN,M,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Griselinia littoralis
Guadua angustifolia,Clumping Bamboo. Guadua,Bamboo,25.0,10-12,F,LMH,SN,M,0,0,5,https://pfaf.org/user/Plant.aspx?LatinName=Guadua angustifolia
Guaiacum officinale,"Lignum Vitae, Guaiacum, Guayacan",Tree,10.0,10-12,S,LMH,N,M,2,3,5,https://pfaf.org/user/Plant.aspx?LatinName=Guaiacum officinale
Guaiacum sanctum,"Lignum Vitae, Guaiacum, Holy Wood",Tree,6.0,10-12,S,LMH,SN,DM,0,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Guaiacum sanctum
Guarea guidonia,"Muskwood , Carrapeta, Cedro Macho",Tree,15.0,10-12,S,LMH,SN,M,0,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Guarea guidonia
Guazuma ulmifolia,"Bastard Cedar. West Indian elm, Guasimo",Tree,30.0,10-12,F,LMH,N,M,2,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Guazuma ulmifolia
Guibourtia coleosperma,"Bushman bean, Large false mopane",Tree,20.0,10-12,S,LM,N,M,2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Guibourtia coleosperma
Guibourtia copallifera,"Kobo Tree, Sierra Leone gum copal",Tree,20.0,10-12,S,LM,N,M,0,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Guibourtia copallifera
Guibourtia demeusei,African Rosewood,Tree,25.0,10-12,S,LMH,N,MWe,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Guibourtia demeusei
Guibourtia pellegriana,"Akume, Bubinga, Waka",Tree,25.0,10-12,S,LMH,N,M,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Guibourtia pellegriana
Guibourtia tessmannii,"Bubinga, Kevazingo",Tree,50.0,10-12,S,LMH,N,M,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Guibourtia tessmannii
Guiera senegalensis,"Moshi medicine, guier du Senegal",Shrub,2.5,10-12,S,LM,N,DM,1,4,4,https://pfaf.org/user/Plant.aspx?LatinName=Guiera senegalensis
Guizotia abyssinica,"Niger Seed, Ramtilla",Annual,1.8,0-0,,LMH,SN,M,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Guizotia abyssinica
Gundelia tournefortii,Tournefort's gundelia,Perennial,0.4,0-0,,LM,N,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gundelia tournefortii
Gunnera magellanica,,Perennial,0.0,6-9,,LMH,SN,M,1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Gunnera magellanica
Gunnera perpensa,,Perennial,0.5,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Gunnera perpensa
Gunnera tinctoria,"Gunnera, Chilean gunnera",Perennial,2.0,6-9,,LMH,SN,M,1,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Gunnera tinctoria
